URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,7,0,1.0,0.028,30.875,44.534,30.164,30.875,110,247,2.437,1,7.162
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,15,0,1.0,0.028,14.237,34.196,19.373,14.237,185,541,2.233,2,6.738
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,14,1,0.867,0.055,27.5,37.455,25.982,27.5,103,275,2.367,1,7.073
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,26,8,0.529,0.067,17.414,50.099,27.005,17.414,253,505,2.6,1,7.665
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,6,0,1.0,0.024,22.727,42.4,26.051,22.727,106,250,2.452,1,7.2
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,7,0,1.0,0.028,30.875,44.534,30.164,30.875,110,247,2.437,1,7.162
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,15,0,1.0,0.028,14.237,34.196,19.373,14.237,185,541,2.233,2,6.738
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,14,1,0.867,0.055,27.5,37.455,25.982,27.5,103,275,2.367,1,7.073
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,26,8,0.529,0.067,17.414,50.099,27.005,17.414,253,505,2.6,1,7.665
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,59,14,0.616,0.061,11.901,50.166,24.827,11.901,603,1202,2.592,1,7.664
Netclan20241027,https://insights.blackcoffer.com/enhancing-model-accuracy-from-58-to-over-90-strategies-for-improving-predictive-performance/,21,3,0.75,0.057,17.458,47.494,25.981,17.458,199,419,2.604,1,7.544
Netclan20241028,https://insights.blackcoffer.com/securing-sensitive-financial-data-with-privacy-preserving-machine-learning-for-predictive-analytics/,30,0,1.0,0.057,18.857,52.083,28.376,18.857,275,528,2.663,1,7.759
Netclan20241029,https://insights.blackcoffer.com/enhancing-data-collection-for-research-institutions-addressing-survey-fatigue-and-incorporating-verbal-communication-for-richer-insights/,24,1,0.92,0.067,18.65,44.772,25.369,18.65,167,373,2.517,1,7.571
Netclan20241030,https://insights.blackcoffer.com/analyzing-the-impact-of-positive-emotions-and-pandemic-severity-on-mental-health-and-resilience-among-entrepreneurs-insights-and-predictive-modeling/,16,0,1.0,0.043,22.0,48.93,28.372,22.0,183,374,2.599,1,7.679
Netclan20241031,https://insights.blackcoffer.com/dynamic-brand-centric-dashboard-for-automotive-dealerships-pdf-to-financial-insights-with-flask-react-architecture-and-aws-cloud-hosting/,62,17,0.57,0.082,14.118,43.542,23.064,14.118,418,960,2.478,6,7.421
Netclan20241032,https://insights.blackcoffer.com/cloud-based-data-modeling-and-analysis-platform-with-drag-and-drop-interface-and-openai-api-integration-for-simulation-insights/,11,1,0.833,0.039,19.375,42.258,24.653,19.375,131,310,2.455,1,7.213
Netclan20241033,https://insights.blackcoffer.com/voter-profile-analysis-and-search-application-for-targeted-campaign-engagement-using-government-voter-data/,44,2,0.913,0.073,16.658,49.131,26.316,16.658,311,633,2.633,1,7.738
Netclan20241034,https://insights.blackcoffer.com/bert-based-classification-of-individuals-and-organizations-into-two-categories-using-natural-language-processing/,9,0,1.0,0.035,21.333,40.234,24.627,21.333,103,256,2.445,1,7.242
Netclan20241035,https://insights.blackcoffer.com/comprehensive-analysis-of-solana-and-ethereum-contributors-using-github-api-with-comparative-study-of-1000-random-github-profiles/,17,1,0.889,0.052,21.75,43.678,26.171,21.75,152,348,2.509,1,7.296
Netclan20241036,https://insights.blackcoffer.com/powerbi-rest-api-fetching-dataflow-and-refresh-schedules-with-semantic-models/,23,0,1.0,0.067,19.167,44.638,25.522,19.167,154,345,2.504,1,7.22
Netclan20241037,https://insights.blackcoffer.com/automated-job-data-import-and-management-solution-for-enhanced-efficiency/,12,1,0.846,0.042,22.071,38.835,24.363,22.071,120,309,2.398,1,6.968
Netclan20241038,https://insights.blackcoffer.com/data-analytics-and-optimization-solution-for-enhancing-renewable-energy-efficiency/,14,2,0.75,0.049,23.214,44.615,27.132,23.214,145,325,2.505,1,7.329
Netclan20241039,https://insights.blackcoffer.com/time-series-analysis-and-trend-forecasting-solution-for-predicting-news-trends/,15,2,0.765,0.054,22.643,39.117,24.704,22.643,124,317,2.382,1,7.151
Netclan20241040,https://insights.blackcoffer.com/advanced-data-visualization-solutions-for-monitoring-key-business-metrics-with-integrated-interactive-dashboards/,18,1,0.895,0.062,22.0,41.234,25.294,22.0,127,308,2.481,1,7.393
Netclan20241041,https://insights.blackcoffer.com/advanced-patient-data-analysis-solution-for-trend-identification-and-improved-healthcare-outcome/,20,2,0.818,0.07,22.429,39.809,24.895,22.429,125,314,2.452,1,7.376
Netclan20241042,https://insights.blackcoffer.com/anomaly-detection-and-analysis-for-enhanced-data-integrity-and-user-experience-on-bright-datas-website/,16,6,0.455,0.068,23.143,42.284,26.171,23.143,137,324,2.481,1,7.182
